row_num,ACQUISITION_TIME,ACQUISITION_DAY,ACQUISITION_HOUR,b
1,12/3/2013 13:36,12/3/2013,2013-12-03 13,2.64
2,12/3/2013 14:06,12/3/2013,2013-12-03 14,2.8
3,12/3/2013 15:06,12/3/2013,2013-12-03 15,2.88
4,12/3/2013 16:06,12/3/2013,2013-12-03 16,2.31
5,12/3/2013 17:08,12/3/2013,2013-12-03 17,1.98
6,12/3/2013 18:08,12/3/2013,2013-12-03 18,0.95
7,12/3/2013 19:09,12/3/2013,2013-12-03 19,0.69
8,12/3/2013 20:09,12/3/2013,2013-12-03 20,0.64
9,12/3/2013 21:00,12/3/2013,2013-12-03 21,0.6
10,12/3/2013 22:02,12/3/2013,2013-12-03 22,0.51
11,12/3/2013 23:02,12/3/2013,2013-12-03 23,0.6
12,12/4/2013 0:02,12/4/2013,2013-12-04 00,0.46
13,12/4/2013 1:09,12/4/2013,2013-12-04 01,0.41
14,12/4/2013 2:00,12/4/2013,2013-12-04 02,0.41
15,12/4/2013 3:00,12/4/2013,2013-12-04 03,0.46
16,12/4/2013 4:01,12/4/2013,2013-12-04 04,0.41
17,12/4/2013 5:02,12/4/2013,2013-12-04 05,0.41
18,12/4/2013 6:03,12/4/2013,2013-12-04 06,0.37
19,12/4/2013 7:03,12/4/2013,2013-12-04 07,0.32
20,12/4/2013 8:04,12/4/2013,2013-12-04 08,0.46
21,12/4/2013 9:05,12/4/2013,2013-12-04 09,1.08
22,12/4/2013 10:06,12/4/2013,2013-12-04 10,1.22
23,12/4/2013 11:06,12/4/2013,2013-12-04 11,1.3
24,12/4/2013 12:07,12/4/2013,2013-12-04 12,1.35
25,12/4/2013 13:08,12/4/2013,2013-12-04 13,2.27
26,12/4/2013 14:09,12/4/2013,2013-12-04 14,2.44
27,12/4/2013 15:00,12/4/2013,2013-12-04 15,2.44
28,12/4/2013 16:00,12/4/2013,2013-12-04 16,2.02
29,12/4/2013 17:01,12/4/2013,2013-12-04 17,1.77
30,12/4/2013 18:01,12/4/2013,2013-12-04 18,0.78
31,12/4/2013 19:03,12/4/2013,2013-12-04 19,0.51
32,12/4/2013 20:05,12/4/2013,2013-12-04 20,0.64
33,12/4/2013 21:05,12/4/2013,2013-12-04 21,0.51
34,12/4/2013 22:06,12/4/2013,2013-12-04 22,0.55
35,12/4/2013 23:07,12/4/2013,2013-12-04 23,0.51
36,12/5/2013 0:08,12/5/2013,2013-12-05 00,0.46
37,12/5/2013 1:08,12/5/2013,2013-12-05 01,0.46
38,12/5/2013 2:09,12/5/2013,2013-12-05 02,0.41
39,12/5/2013 3:00,12/5/2013,2013-12-05 03,0.37
40,12/5/2013 4:00,12/5/2013,2013-12-05 04,0.37
41,12/5/2013 5:01,12/5/2013,2013-12-05 05,0.32
42,12/5/2013 6:02,12/5/2013,2013-12-05 06,0.28
43,12/5/2013 7:03,12/5/2013,2013-12-05 07,0.19
44,12/5/2013 8:03,12/5/2013,2013-12-05 08,0.28
45,12/5/2013 9:04,12/5/2013,2013-12-05 09,0.19
46,12/5/2013 10:05,12/5/2013,2013-12-05 10,0.46
47,12/5/2013 11:06,12/5/2013,2013-12-05 11,0.51
48,12/5/2013 12:07,12/5/2013,2013-12-05 12,0.46
49,12/5/2013 13:07,12/5/2013,2013-12-05 13,0.6
50,12/5/2013 14:09,12/5/2013,2013-12-05 14,0.6
51,12/5/2013 15:00,12/5/2013,2013-12-05 15,0.73
52,12/5/2013 16:00,12/5/2013,2013-12-05 16,1.04
53,12/5/2013 17:02,12/5/2013,2013-12-05 17,0.55
54,12/5/2013 18:02,12/5/2013,2013-12-05 18,0.37
55,12/5/2013 19:03,12/5/2013,2013-12-05 19,0.28
56,12/5/2013 20:03,12/5/2013,2013-12-05 20,0.41
57,12/5/2013 21:05,12/5/2013,2013-12-05 21,0.23
58,12/5/2013 22:05,12/5/2013,2013-12-05 22,0.19
59,12/5/2013 23:06,12/5/2013,2013-12-05 23,0.32
60,12/6/2013 0:17,12/6/2013,2013-12-06 00,0
