,X.1,X,LINKEDDEPTNAME,LINKEDLINENAME,LINKEDLINE,LINKEDPOLENAME,ACQUISITION_TIME,TENSION,D,ACQUISITION_DAY,ACQUISITION_HOUR,F0,b,
1,1,5035620,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 13:36,14798,33.8,12/3/2013,2013-12-03 13,14200.2,2.64,2.639674385
2,2,5035623,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 14:06,14837.2,33.8,12/3/2013,2013-12-03 14,14200.2,2.8,2.800414775
3,3,5035629,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 15:06,14856.8,33.8,12/3/2013,2013-12-03 15,14200.2,2.88,2.880295142
4,4,5035635,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 16:06,14719.6,33.8,12/3/2013,2013-12-03 16,14200.2,2.31,2.3141599
5,5,5035641,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 17:08,14641.2,33.8,12/3/2013,2013-12-03 17,14200.2,1.98,1.983034878
6,6,5035647,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 18:08,14406,33.8,12/3/2013,2013-12-03 18,14200.2,0.95,0.952848593
7,7,5035653,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 19:09,14347.2,33.8,12/3/2013,2013-12-03 19,14200.2,0.69,0.685875073
8,8,5035659,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 20:09,14337.4,33.8,12/3/2013,2013-12-03 20,14200.2,0.64,0.640984444
9,9,5035664,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 21:00,14327.6,33.8,12/3/2013,2013-12-03 21,14200.2,0.6,0.595978637
10,10,5035670,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 22:02,14308,33.8,12/3/2013,2013-12-03 22,14200.2,0.51,0.505617911
11,11,5035676,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/3/2013 23:02,14327.6,33.8,12/3/2013,2013-12-03 23,14200.2,0.6,0.595978637
12,12,5035682,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 0:02,14298.2,33.8,12/4/2013,2013-12-04 00,14200.2,0.46,0.460261175
13,13,5035688,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 1:09,14288.4,33.8,12/4/2013,2013-12-04 01,14200.2,0.41,0.414785625
14,14,5035693,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 2:00,14288.4,33.8,12/4/2013,2013-12-04 02,14200.2,0.41,0.414785625
15,15,5035699,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 3:00,14298.2,33.8,12/4/2013,2013-12-04 03,14200.2,0.46,0.460261175
16,16,5035705,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 4:01,14288.4,33.8,12/4/2013,2013-12-04 04,14200.2,0.41,0.414785625
17,17,5035711,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 5:02,14288.4,33.8,12/4/2013,2013-12-04 05,14200.2,0.41,0.414785625
18,18,5035717,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 6:03,14278.6,33.8,12/4/2013,2013-12-04 06,14200.2,0.37,0.369190324
19,19,5035723,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 7:03,14268.8,33.8,12/4/2013,2013-12-04 07,14200.2,0.32,0.323474319
20,20,5035729,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 8:04,14298.2,33.8,12/4/2013,2013-12-04 08,14200.2,0.46,0.460261175
21,21,5035735,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 9:05,14435.4,33.8,12/4/2013,2013-12-04 09,14200.2,1.08,1.084849271
22,22,5035741,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 10:06,14464.8,33.8,12/4/2013,2013-12-04 10,14200.2,1.22,
23,23,5035747,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 11:06,14484.4,33.8,12/4/2013,2013-12-04 11,14200.2,1.3,
24,24,5035753,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 12:07,14494.2,33.8,12/4/2013,2013-12-04 12,14200.2,1.35,
25,25,5035759,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 13:08,14709.8,33.8,12/4/2013,2013-12-04 13,14200.2,2.27,
26,26,5035765,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 14:09,14749,33.8,12/4/2013,2013-12-04 14,14200.2,2.44,
27,27,5035770,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 15:00,14749,33.8,12/4/2013,2013-12-04 15,14200.2,2.44,
28,28,5035776,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 16:00,14651,33.8,12/4/2013,2013-12-04 16,14200.2,2.02,
29,29,5035782,国网四川检修公司,500kV月普一线,19M00000008626845,104#,12/4/2013 17:01,14592.2,33.8,12/4/2013,2013-12-04 17,14200.2,1.77,
